file,line,verdict,evidence,file_hash_at_verify,verified_at,verified_by,session
server/src/controllers/integrationsController.ts,1320,ORG_IN_WHERE,"count({ where }) — where built at line 1310 as { organizationId, ... }",fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/integrationsController.ts,1724,ORG_IN_WHERE,"findFirst where { organizationId, provider, connected: true }",fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/integrationsController.ts,1838,ORG_IN_WHERE,"findFirst where { organizationId, provider, connected: true }",fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/integrationsController.ts,1897,ORG_IN_WHERE,"findFirst where { organizationId, provider, connected: true }",fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/integrationsController.ts,1961,ORG_IN_WHERE,"findMany where { organizationId, connected: true }",fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/integrationsController.ts,2068,ORG_IN_WHERE,"findFirst where { organizationId, provider }",fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/integrationsController.ts,817,ORG_IN_WHERE,"findMany where { organizationId }",fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/integrationsController.ts,845,ORG_IN_WHERE,"findUnique on composite key organizationId_provider with { organizationId, provider }",fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/onboardingController.ts,316,ORG_IN_WHERE,"findUnique on composite key userId_organizationId from req.user",ad4c8cb4b31e3a07c0e658459b27d9c3d3132fb54c999a3a73535b201ad87450,2026-05-30T00:00:00Z,session13_subagent_7,session13
server/src/controllers/onboardingController.ts,38,USER_SELF_READ,"prisma.organization.findUnique where { id: organizationId } — reading caller's own org",ad4c8cb4b31e3a07c0e658459b27d9c3d3132fb54c999a3a73535b201ad87450,2026-05-30T00:00:00Z,session13_subagent_7,session13
