site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
1,./server/src/controllers/acosController.ts,2948,prisma.user.findUnique,OWNERSHIP_PRECHECK,NONE,"const user = await prisma.user.findUnique({",2026-05-30T00:00:00Z,session13_subagent_3,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
2,./server/src/controllers/acosController.ts,2986,prisma.user.findUnique,OWNERSHIP_PRECHECK,NONE,"const user = await prisma.user.findUnique({",2026-05-30T00:00:00Z,session13_subagent_3,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
3,./server/src/controllers/acosController.ts,2990,prisma.user.findUnique,OWNERSHIP_PRECHECK,NONE,"const approver = request.approvedBy ? await prisma.user.findUnique({",2026-05-30T00:00:00Z,session13_subagent_3,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
4,./server/src/controllers/auditController.ts,158,prisma.auditLog.findMany,ORG_IN_WHERE,NONE,"const logs = await prisma.auditLog.findMany({",2026-05-30T00:00:00Z,session13_subagent_3,session13,7a107c83deca21a74b995c2c288dc0405e83be8c1cc77ae923d4e6ae62fcd06d
5,./server/src/controllers/auditController.ts,221,prisma.auditLog.findMany,ORG_IN_WHERE,NONE,"const logsToArchive = await prisma.auditLog.findMany({",2026-05-30T00:00:00Z,session13_subagent_3,session13,7a107c83deca21a74b995c2c288dc0405e83be8c1cc77ae923d4e6ae62fcd06d
6,./server/src/controllers/auditController.ts,29,prisma.auditLog.findMany,ORG_IN_WHERE,NONE,"prisma.auditLog.findMany({",2026-05-30T00:00:00Z,session13_subagent_3,session13,7a107c83deca21a74b995c2c288dc0405e83be8c1cc77ae923d4e6ae62fcd06d
7,./server/src/controllers/auditController.ts,44,prisma.auditLog.count,ORG_IN_WHERE,NONE,"prisma.auditLog.count({ where }),",2026-05-30T00:00:00Z,session13_subagent_3,session13,7a107c83deca21a74b995c2c288dc0405e83be8c1cc77ae923d4e6ae62fcd06d
8,./server/src/controllers/authController.ts,1043,prisma.user.findUnique,USER_SELF_READ,NONE,"const currentUser = await prisma.user.findUnique({ where: { id: userId } });",2026-05-30T00:00:00Z,session13_subagent_3,session13,b1a82cf961a21b18187acef55f2447aaf46e046bfec214c4b716b49e16bff80a
9,./server/src/controllers/authController.ts,1047,prisma.user.findUnique,SYSTEM_READ,NONE,"const existingUser = await prisma.user.findUnique({ where: { email } });",2026-05-30T00:00:00Z,session13_subagent_3,session13,b1a82cf961a21b18187acef55f2447aaf46e046bfec214c4b716b49e16bff80a
10,./server/src/controllers/authController.ts,110,prisma.user.findUnique,SYSTEM_READ,NONE,"const existingUser = await prisma.user.findUnique({ where: { email }, select: { id: true } });",2026-05-30T00:00:00Z,session13_subagent_3,session13,b1a82cf961a21b18187acef55f2447aaf46e046bfec214c4b716b49e16bff80a
