file,line,model,operation,verdict,evidence,file_hash_at_verify,verified_at,verified_by,session
server/src/generated/prisma/client/index.d.ts,101254,keyRotationPolicy,count,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,101279,user,aggregate,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,101303,user,groupBy,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102214,compliancePolicy,findUnique,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102228,compliancePolicy,findUniqueOrThrow,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102243,compliancePolicy,findFirst,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102259,compliancePolicy,findFirstOrThrow,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102274,compliancePolicy,findMany,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102277,compliancePolicy,findMany,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102280,compliancePolicy,findMany,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102458,compliancePolicy,count,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102483,user,aggregate,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,102507,user,groupBy,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103445,vRTrainingScenario,findUnique,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103459,vRTrainingScenario,findUniqueOrThrow,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
