site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
1,services/api.ts,1461,POST /acos/control-loops,PROXY_OR_HELPER,NONE,"createControlLoop: fetchAPI('/acos/control-loops' POST) — backend router.post('/control-loops') in acos.ts:116",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
2,services/api.ts,1462,PATCH /acos/control-loops/:loopId,PROXY_OR_HELPER,NONE,"updateControlLoop: fetchAPI('/acos/control-loops/${loopId}' PATCH) — backend router.patch('/control-loops/:loopId') in acos.ts:122",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
3,services/api.ts,1463,POST /acos/control-loops/:loopId/pause,PROXY_OR_HELPER,NONE,"pauseControlLoop: fetchAPI('/acos/control-loops/${loopId}/pause' POST) — backend router.post('/control-loops/:loopId/pause') in acos.ts:120",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
4,services/api.ts,1464,POST /acos/control-loops/:loopId/resume,PROXY_OR_HELPER,NONE,"resumeControlLoop: fetchAPI('/acos/control-loops/${loopId}/resume' POST) — backend router.post('/control-loops/:loopId/resume') in acos.ts:121",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
5,services/api.ts,1465,DELETE /acos/control-loops/:loopId,PROXY_OR_HELPER,NONE,"deleteControlLoop: fetchAPI('/acos/control-loops/${loopId}' DELETE) — backend router.delete('/control-loops/:loopId') in acos.ts:123",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
6,services/api.ts,1466,POST /acos/control-loops/:loopId/execute,PROXY_OR_HELPER,NONE,"executeControlLoop: fetchAPI('/acos/control-loops/${loopId}/execute' POST) — backend router.post('/control-loops/:loopId/execute') in acos.ts:119",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
7,services/api.ts,1471,GET /acos/compliance-debts,PROXY_OR_HELPER,NONE,"getComplianceDebts: fetchAPI('/acos/compliance-debts...') — backend router.get('/compliance-debts') in acos.ts:310",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
8,services/api.ts,1473,POST /acos/compliance-debts,PROXY_OR_HELPER,NONE,"trackComplianceDebt: fetchAPI('/acos/compliance-debts' POST) — backend router.post('/compliance-debts') in acos.ts:311",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
9,services/api.ts,1474,POST /acos/compliance-debts/calculate-from-gap,PROXY_OR_HELPER,NONE,"calculateDebtFromGapAnalysis: fetchAPI('/acos/compliance-debts/calculate-from-gap' POST) — backend router.post('/compliance-debts/calculate-from-gap') in acos.ts:312",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
10,services/api.ts,1475,POST /acos/compliance-debts/:debtId/resolve,PROXY_OR_HELPER,NONE,"resolveComplianceDebt: fetchAPI('/acos/compliance-debts/${debtId}/resolve' POST) — backend router.post('/compliance-debts/:debtId/resolve') in acos.ts:313",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
11,services/api.ts,1476,GET /acos/compliance-debts/export,PROXY_OR_HELPER,NONE,"exportDebtReport: fetchAPI('/acos/compliance-debts/export?format=...') — backend router.get('/compliance-debts/export') in acos.ts:314",2026-05-30T00:00:00Z,session13_subagent_19,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
