file,line,verdict,evidence,verified_at,verified_by,session,file_hash_at_verify
./server/src/generated/prisma/client/index.d.ts,104695,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,104711,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,104726,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,104729,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,104732,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,104910,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,104935,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,104959,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,105816,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
./server/src/generated/prisma/client/index.d.ts,105830,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client (lines prefixed with `* `); not active code",2026-05-30T00:00:00Z,session13_subagent_10,session13,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
