site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
1,./server/src/controllers/featureModulesController.ts,630,prisma.digitalProductPassport.findFirst,ORG_IN_WHERE,NONE,"where: { id: req.params.id, organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
2,./server/src/controllers/frameworksController.ts,44,prisma.complianceFramework.findMany,ORG_IN_WHERE,NONE,"where: { organizationId } from authReq.user!.organizationId",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
3,./server/src/controllers/frameworksController.ts,453,prisma.frameworkControl.findFirst,OWNERSHIP_PRECHECK,NONE,"preceded by line 444 prisma.complianceFramework.findFirst where { id: frameworkId, organizationId }; then control findFirst where { id: controlId, frameworkId }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
4,./server/src/controllers/frameworksController.ts,516,prisma.complianceFramework.findFirst,ORG_IN_WHERE,NONE,"where: { id: frameworkId, organizationId }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
5,./server/src/controllers/frameworksController.ts,581,prisma.complianceFramework.findFirst,ORG_IN_WHERE,NONE,"where: { id: frameworkId, organizationId }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
6,./server/src/controllers/frameworksController.ts,590,prisma.frameworkControl.findUnique,OWNERSHIP_PRECHECK,NONE,"preceded by line 581 framework org-verify; findUnique by id only but framework org-ownership established; subsequent update at line 608 follows same precheck pattern",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
7,./server/src/controllers/frameworksController.ts,66,prisma.complianceFramework.findFirst,ORG_IN_WHERE,NONE,"where: { id, organizationId }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
8,./server/src/controllers/frameworksController.ts,709,prisma.complianceFramework.findFirst,ORG_IN_WHERE,NONE,"where: { id: frameworkId, organizationId }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
9,./server/src/controllers/frameworksController.ts,765,prisma.complianceFramework.findFirst,ORG_IN_WHERE,NONE,"where: { id: frameworkId, organizationId }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
10,./server/src/controllers/frameworksController.ts,774,prisma.frameworkControl.findFirst,OWNERSHIP_PRECHECK,NONE,"preceded by line 765 framework org-verify; control findFirst where { id: controlId, frameworkId } joins parent",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
11,./server/src/controllers/frameworksController.ts,879,prisma.complianceFramework.findFirst,ORG_IN_WHERE,NONE,"where: { id: frameworkId, organizationId }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
12,./server/src/controllers/frameworksController.ts,887,prisma.frameworkControl.findFirst,OWNERSHIP_PRECHECK,NONE,"preceded by line 879 framework org-verify; control findFirst where { id: controlId, frameworkId } joins parent",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
13,./server/src/controllers/frameworksController.ts,89,prisma.frameworkControl.findMany,OWNERSHIP_PRECHECK,NONE,"preceded by line 66 framework org-verify; controls where { frameworkId: id } scoped to verified framework",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
14,./server/src/controllers/frameworksController.ts,949,prisma.complianceFramework.findFirst,ORG_IN_WHERE,NONE,"where: { id: frameworkId, organizationId }",2026-05-30T00:00:00Z,session13_subagent_6,session13,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
15,./server/src/controllers/integrationsController.ts,1006,prisma.integration.findUnique,ORG_IN_WHERE,NONE,"where: { organizationId_provider: { organizationId, provider: 'azure' } }",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
16,./server/src/controllers/integrationsController.ts,1116,prisma.integration.findUnique,ORG_IN_WHERE,NONE,"where: { organizationId_provider: { organizationId, provider: 'azure' } }",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
17,./server/src/controllers/integrationsController.ts,1203,prisma.azureResource.findMany,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; findMany({ where, ... })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
18,./server/src/controllers/integrationsController.ts,1209,prisma.azureResource.count,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; count({ where })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
19,./server/src/controllers/integrationsController.ts,1231,prisma.azureSecurityFinding.findMany,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; findMany({ where, ... })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
20,./server/src/controllers/integrationsController.ts,1237,prisma.azureSecurityFinding.count,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; count({ where })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
21,./server/src/controllers/integrationsController.ts,1259,prisma.azureSecurityAlert.findMany,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; findMany({ where, ... })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
22,./server/src/controllers/integrationsController.ts,1265,prisma.azureSecurityAlert.count,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; count({ where })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
23,./server/src/controllers/integrationsController.ts,1287,prisma.azureUser.findMany,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; findMany({ where, ... })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
24,./server/src/controllers/integrationsController.ts,1293,prisma.azureUser.count,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; count({ where })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
25,./server/src/controllers/integrationsController.ts,1314,prisma.azurePolicyCompliance.findMany,ORG_IN_WHERE,NONE,"const where: any = { organizationId }; findMany({ where, ... })",2026-05-30T00:00:00Z,session13_subagent_6,session13,fbd4df5c8e5188724b00f57444ce3b441b2d7fdecb7d6045419487c695020582
