file,line,verdict,evidence,file_hash_at_verify,verified_at,verified_by,session
server/src/controllers/billingController.ts,615,SYSTEM_READ,"Webhook helper getOrgIdFromCustomer(customerId) — looks up organization by Stripe customer ID for webhook event routing (pre-org-context resolution). No user session available in webhook context.",a5be9d45e8917974f10cd35d68f25fad7dedb8213f6c39c1fa15094eb8ad7e2b,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/demoController.ts,816,SYSTEM_READ,"dispatchStatusChangeWebhook: system-wide webhook subscriber lookup filtered by enabled+event. Demo requests are pre-auth global events; each webhook.organizationId is used per-row when dispatching.",73aeb1f5d6bad62f746e5a3c413816f6985ff9e13624a3ba40dcdc8a1393d6bc,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/demoController.ts,856,SYSTEM_READ,"dispatchScheduleConfirmation: system-wide webhook subscriber lookup (enabled + event='demo.request.scheduled'). Pre-auth demo flow; per-webhook orgId used for dispatch routing.",73aeb1f5d6bad62f746e5a3c413816f6985ff9e13624a3ba40dcdc8a1393d6bc,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/demoController.ts,898,SYSTEM_READ,"dispatchConversionWebhook: system-wide webhook subscriber lookup (enabled + event='demo.request.converted'). Pre-auth demo flow; per-webhook orgId used for dispatch routing.",73aeb1f5d6bad62f746e5a3c413816f6985ff9e13624a3ba40dcdc8a1393d6bc,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/evidenceVersioningController.ts,115,OWNERSHIP_PRECHECK,"createVersion: frameworkControl.findFirst({where:{id:controlId}}) followed by check 'control.framework.organizationId !== organizationId' throwing 404 at L120-122.",2159c2501481380bc9f18f66217fa9621cf09cf511d7c5ae8d68a81e0afc7c03,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/evidenceVersioningController.ts,125,OWNERSHIP_PRECHECK,"createVersion: evidenceVersion.findFirst({where:{controlId}}) — preceded by parent control ownership check at L115-122 confirming control.framework.organizationId === user.organizationId.",2159c2501481380bc9f18f66217fa9621cf09cf511d7c5ae8d68a81e0afc7c03,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/evidenceVersioningController.ts,186,OWNERSHIP_PRECHECK,"restoreVersion: frameworkControl.findFirst({where:{id:controlId}}) followed by check 'control.framework.organizationId !== organizationId' throwing 404 at L191-193.",2159c2501481380bc9f18f66217fa9621cf09cf511d7c5ae8d68a81e0afc7c03,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/evidenceVersioningController.ts,196,OWNERSHIP_PRECHECK,"restoreVersion: evidenceVersion.findFirst({where:{id:versionId,controlId}}) — preceded by parent control ownership check at L186-193 confirming controlId belongs to org.",2159c2501481380bc9f18f66217fa9621cf09cf511d7c5ae8d68a81e0afc7c03,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/evidenceVersioningController.ts,22,OWNERSHIP_PRECHECK,"getVersions: frameworkControl.findFirst({where:{id:controlId},include:{framework:true}}) followed by check 'control.framework.organizationId !== organizationId' throwing 404 at L27-29.",2159c2501481380bc9f18f66217fa9621cf09cf511d7c5ae8d68a81e0afc7c03,2026-05-30T00:00:00Z,session13_subagent_4,session13
server/src/controllers/evidenceVersioningController.ts,252,OWNERSHIP_PRECHECK,"deleteVersion: frameworkControl.findFirst({where:{id:controlId}}) followed by check 'control.framework.organizationId !== organizationId' throwing 404 at L257-259.",2159c2501481380bc9f18f66217fa9621cf09cf511d7c5ae8d68a81e0afc7c03,2026-05-30T00:00:00Z,session13_subagent_4,session13
