site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
1,server/src/routes/privacy.ts,1925,"POST /ai-transparency",WRAPPED_VERIFIED,NONE,"router.post('/ai-transparency', authorize('admin','editor'), idempotencyKey(), asyncHandler(...))",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
2,server/src/routes/privacy.ts,1964,"PATCH /ai-transparency/:id",IDEMPOTENT_BY_DESIGN,NONE,"PATCH with targeted update by id; pick-listed fields; HTTP PATCH semantics make repeated calls converge to same state",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
3,server/src/routes/privacy.ts,2003,"POST /ai-transparency/:id/publish",GAP_LOW,LOW,"POST sets status='Published' + effectiveDate=new Date() — non-idempotent timestamp side effect; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
4,server/src/routes/privacy.ts,2069,"POST /jit-notices",WRAPPED_VERIFIED,NONE,"router.post('/jit-notices', authorize('admin','editor'), idempotencyKey(), asyncHandler(...))",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
5,server/src/routes/privacy.ts,2112,"PATCH /jit-notices/:id",IDEMPOTENT_BY_DESIGN,NONE,"PATCH with targeted update by id; pick-listed fields; HTTP PATCH semantics make repeated calls converge to same state",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
6,server/src/routes/privacy.ts,2148,"POST /jit-notices/:id/impression",GAP_LOW,LOW,"data: { impressions: { increment: 1 } } — counter increment is non-idempotent; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
7,server/src/routes/privacy.ts,2175,"POST /jit-notices/:id/accept",GAP_LOW,LOW,"data: { acceptances: { increment: 1 } } — counter increment is non-idempotent; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
8,server/src/routes/privacy.ts,2202,"POST /jit-notices/:id/dismiss",GAP_LOW,LOW,"data: { dismissals: { increment: 1 } } — counter increment is non-idempotent; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
9,server/src/routes/privacy.ts,2253,"POST /notices",WRAPPED_VERIFIED,NONE,"router.post('/notices', idempotencyKey(), asyncHandler(...))",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
10,server/src/routes/privacy.ts,2273,"PATCH /notices/:id",IDEMPOTENT_BY_DESIGN,NONE,"PATCH with targeted update by id; HTTP PATCH semantics make repeated calls converge to same state",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
11,server/src/routes/privacy.ts,2287,"DELETE /notices/:id",IDEMPOTENT_BY_DESIGN,NONE,"DELETE by id; HTTP DELETE semantics — repeat call returns 404 (already deleted)",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
12,server/src/routes/privacy.ts,2298,"POST /notices/:id/impression",GAP_LOW,LOW,"data: { impressions: { increment: 1 } } — counter increment is non-idempotent; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
13,server/src/routes/privacy.ts,2312,"POST /notices/:id/accept",GAP_LOW,LOW,"data: { acceptances: { increment: 1 } } — counter increment is non-idempotent; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
14,server/src/routes/privacy.ts,2326,"POST /notices/:id/dismiss",GAP_LOW,LOW,"data: { dismissals: { increment: 1 } } — counter increment is non-idempotent; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
15,server/src/routes/privacy.ts,2385,"POST /child-consent/verify-age",IDEMPOTENT_BY_DESIGN,NONE,"Updates consentRecord with deterministic fields (dataSubjectAge, isMinor, ageVerificationMethod) from body; repeat with same body converges to same state",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
16,server/src/routes/privacy.ts,2439,"POST /child-consent/parental-consent",GAP_LOW,LOW,"data: { parentalConsentGiven: true, parentalConsentDate: new Date() } — non-idempotent timestamp side effect; no idempotencyKey() on consent-tracking endpoint",2026-05-30T00:00:00Z,session13_subagent_18,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
17,server/src/routes/acos.ts,108,"POST /goals",WRAPPED_VERIFIED,NONE,"router.post('/goals', ...requireAcosFeature('acosGoals'), authorize('admin','editor'), idempotencyKey(), validateBody(createGoalSchema), asyncHandler(acosController.createGoal))",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
18,server/src/routes/acos.ts,113,"POST /goals/:goalId/restore",IDEMPOTENT_BY_DESIGN,NONE,"Restore by specific goalId — repeat call on already-restored goal is a no-op (deletedAt already null)",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
19,server/src/routes/acos.ts,116,"POST /control-loops",GAP_LOW,LOW,"POST create without idempotencyKey() — each call creates a new control loop; not billing/payment so LOW per COV-18",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
20,server/src/routes/acos.ts,122,"PATCH /control-loops/:loopId",IDEMPOTENT_BY_DESIGN,NONE,"PATCH with targeted update by loopId; HTTP PATCH semantics make repeated calls converge to same state",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
21,server/src/routes/acos.ts,123,"DELETE /control-loops/:loopId",IDEMPOTENT_BY_DESIGN,NONE,"DELETE by loopId; HTTP DELETE semantics — repeat call is a no-op or 404",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
22,server/src/routes/acos.ts,126,"POST /agentic/estimate-blast-radius",IDEMPOTENT_BY_DESIGN,NONE,"Estimation/preview endpoint — repeat calls yield same calculated radius; no material state change",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
23,server/src/routes/acos.ts,127,"POST /agentic/execute-action",GAP_LOW,LOW,"POST execute-action with real automation side-effects (note line 119 executeControlLoop has idempotencyKey() but execute-action does not); not billing so LOW per COV-18",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
24,server/src/routes/acos.ts,128,"POST /agentic/rollback/:actionId",IDEMPOTENT_BY_DESIGN,NONE,"Rollback targeted to specific actionId — repeat call on already-rolled-back action is a no-op",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
25,server/src/routes/acos.ts,129,"POST /agentic/rollback-multiple",IDEMPOTENT_BY_DESIGN,NONE,"Rollback by deterministic action ID list — repeat call on already-rolled-back actions is a no-op",2026-05-30T00:00:00Z,session13_subagent_18,session13,45fb57e6309af9ad0ae2ceeb8cb3536d3b78395fd262e3e18ad550a50e1648b0
