row_number,model_name,has_organizationId_field,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
27,FileUpload,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:830-847,"model FileUpload { id String ... organizationId String ... @@index([organizationId]) @@index([uploadedBy]) @@index([s3Key]) }",2026-05-25,prisma_rls_chunk_01
28,StripeEvent,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:849-860,"model StripeEvent { id String ... eventId String @unique type String data Json processed Boolean @default(false) ... @@index([eventId]) @@index([type]) @@index([processed]) }",2026-05-25,prisma_rls_chunk_01
29,ComplianceGoal,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:862-881,"model ComplianceGoal { id String ... organizationId String ... @@index([organizationId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_01
30,ControlLoop,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:883-913,"model ControlLoop { id String ... organizationId String ... @@index([organizationId]) @@index([controlId]) @@index([status]) @@index([triggerType]) @@index([parentLoopId]) }",2026-05-25,prisma_rls_chunk_01
31,ControlLoopHistory,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:915-931,"model ControlLoopHistory { id String ... organizationId String ... @@index([loopId]) @@index([organizationId]) @@index([timestamp]) }",2026-05-25,prisma_rls_chunk_01
32,ComplianceDebt,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:933-956,"model ComplianceDebt { id String ... organizationId String ... @@index([organizationId]) @@index([frameworkId]) @@index([severity]) @@index([controlId]) @@index([deadline]) }",2026-05-25,prisma_rls_chunk_01
33,ChangeImpact,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:958-980,"model ChangeImpact { id String ... organizationId String ... @@index([organizationId]) @@index([changeType]) @@index([severity]) @@index([resolvedAt]) }",2026-05-25,prisma_rls_chunk_01
34,AgenticAction,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:982-1002,"model AgenticAction { id String ... organizationId String ... @@index([organizationId]) @@index([status]) @@index([actionType]) }",2026-05-25,prisma_rls_chunk_01
35,EvidenceAnalysis,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1004-1021,"model EvidenceAnalysis { id String ... organizationId String ... @@index([evidenceId]) @@index([organizationId]) @@index([verificationStatus]) }",2026-05-25,prisma_rls_chunk_01
36,EvidenceAttestation,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1023-1042,"model EvidenceAttestation { id String ... organizationId String ... @@index([evidenceId, organizationId]) @@index([userId]) @@index([organizationId]) }",2026-05-25,prisma_rls_chunk_01
37,UserSigningKey,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1044-1060,"model UserSigningKey { id String ... userId String organizationId String ... @@index([userId, organizationId, active]) @@index([organizationId]) }",2026-05-25,prisma_rls_chunk_01
38,RegulatoryFeed,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1062-1085,"model RegulatoryFeed { id String ... organizationId String ... @@index([organizationId]) @@index([status]) @@index([feedType]) @@index([jurisdiction]) }",2026-05-25,prisma_rls_chunk_01
39,RegulatoryChange,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1087-1111,"model RegulatoryChange { id String ... organizationId String ... @@index([organizationId]) @@index([jurisdiction]) @@index([status]) @@index([feedId]) }",2026-05-25,prisma_rls_chunk_01
40,RiskPrediction,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1113-1131,"model RiskPrediction { id String ... organizationId String ... @@index([organizationId]) @@index([predictedDate]) @@index([predictedSeverity]) }",2026-05-25,prisma_rls_chunk_01
41,ComplianceTrajectory,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1133-1148,"model ComplianceTrajectory { id String ... organizationId String ... @@index([organizationId]) @@index([frameworkId]) }",2026-05-25,prisma_rls_chunk_01
42,SimulationScenario,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1150-1164,"model SimulationScenario { id String ... organizationId String ... @@index([organizationId]) @@index([scenarioType]) }",2026-05-25,prisma_rls_chunk_01
43,SimulationResult,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1166-1184,"model SimulationResult { id String ... organizationId String ... @@index([scenarioId]) @@index([organizationId]) }",2026-05-25,prisma_rls_chunk_01
44,RedTeamResult,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1186-1201,"model RedTeamResult { id String ... organizationId String ... @@index([organizationId]) @@index([createdAt]) }",2026-05-25,prisma_rls_chunk_01
45,SwarmInsight,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1203-1217,"model SwarmInsight { id String ... organizationId String ... @@index([organizationId]) @@index([insightType]) }",2026-05-25,prisma_rls_chunk_01
46,IoTDevice,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1219-1237,"model IoTDevice { id String ... organizationId String ... @@unique([deviceId, organizationId]) @@index([organizationId]) @@index([complianceStatus]) }",2026-05-25,prisma_rls_chunk_01
47,EdgeComplianceCheck,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1239-1254,"model EdgeComplianceCheck { id String ... organizationId String ... @@index([deviceId]) @@index([organizationId]) @@index([timestamp]) }",2026-05-25,prisma_rls_chunk_01
48,TranscriptionResult,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1256-1272,"model TranscriptionResult { id String ... organizationId String ... @@index([organizationId]) @@index([evidenceId]) @@index([sourceType]) }",2026-05-25,prisma_rls_chunk_01
49,DeviceTrust,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1274-1292,"model DeviceTrust { id String ... organizationId String ... @@unique([deviceId, organizationId]) @@index([organizationId]) @@index([deviceId]) @@index([isTrusted]) }",2026-05-25,prisma_rls_chunk_01
50,ZeroTrustPolicy,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1294-1308,"model ZeroTrustPolicy { id String ... organizationId String ... @@index([organizationId]) @@index([enabled]) }",2026-05-25,prisma_rls_chunk_01
51,NetworkSegment,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1310-1324,"model NetworkSegment { organizationId String ... @@index([organizationId]) @@index([trustLevel]) }",2026-05-25,prisma_rls_chunk_02
52,KeyUsage,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1326-1344,"model KeyUsage { organizationId String ... @@index([organizationId]) @@index([keyId]) @@index([provider]) }",2026-05-25,prisma_rls_chunk_02
53,KeyRotationPolicy,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1346-1365,"model KeyRotationPolicy { organizationId String ... @@unique([keyId, organizationId]) @@index([organizationId]) }",2026-05-25,prisma_rls_chunk_02
54,CompliancePolicy,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1367-1390,"model CompliancePolicy { organizationId String ... @@index([organizationId]) @@index([framework]) @@index([severity]) }",2026-05-25,prisma_rls_chunk_02
55,VRTrainingScenario,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1392-1410,"model VRTrainingScenario { organizationId String ... @@index([organizationId]) @@index([framework]) }",2026-05-25,prisma_rls_chunk_02
56,VRTrainingSession,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1412-1433,"model VRTrainingSession { organizationId String ... @@index([scenarioId]) @@index([organizationId]) @@index([userId]) }",2026-05-25,prisma_rls_chunk_02
57,VRSessionPerformance,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:1435-1446,"model VRSessionPerformance { id sessionId fps ... session VRTrainingSession @relation(fields: [sessionId], references: [id], onDelete: Cascade) } — child of VRTrainingSession (org-scoped); cascades from parent",2026-05-25,prisma_rls_chunk_02
58,VRCollaborativeSession,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1448-1484,"model VRCollaborativeSession { organizationId String ... @@index([organizationId]) @@index([sessionId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_02
59,NeuroSymbolicReasoning,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1486-1501,"model NeuroSymbolicReasoning { organizationId String ... @@index([organizationId]) @@index([createdAt]) }",2026-05-25,prisma_rls_chunk_02
60,RuleInference,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1503-1519,"model RuleInference { organizationId String ... @@index([reasoningId]) @@index([organizationId]) @@index([validationStatus]) }",2026-05-25,prisma_rls_chunk_02
61,FederatedSwarmPeer,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1521-1535,"model FederatedSwarmPeer { organizationId String ... @@index([organizationId]) @@index([peerId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_02
62,FederatedSwarmAggregation,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1537-1549,"model FederatedSwarmAggregation { organizationId String ... @@index([organizationId]) @@index([aggregationType]) @@index([timestamp]) }",2026-05-25,prisma_rls_chunk_02
63,PrivacyBudgetLedger,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1554-1577,"model PrivacyBudgetLedger { organizationId String ... @@index([organizationId]) @@index([modelType]) @@index([roundId]) }",2026-05-25,prisma_rls_chunk_02
64,SCAFFOLDControlVariate,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1583-1600,"model SCAFFOLDControlVariate { organizationId String ... @@unique([organizationId, modelType, scope, peerId, roundId]) @@index([organizationId, modelType]) }",2026-05-25,prisma_rls_chunk_02
65,KnowledgeGraphEntity,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1606-1628,"model KnowledgeGraphEntity { organizationId String ... @@unique([organizationId, nodeKey]) @@index([organizationId, nodeType]) }",2026-05-25,prisma_rls_chunk_02
66,KnowledgeGraphRelationship,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1633-1662,"model KnowledgeGraphRelationship { organizationId String ... @@unique([fromNodeId, toNodeId, relationshipType]) @@index([organizationId]) }",2026-05-25,prisma_rls_chunk_02
67,Notification,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1664-1690,"model Notification { userId organizationId String ... @@index([userId]) @@index([organizationId]) @@index([status]) @@index([createdAt]) }",2026-05-25,prisma_rls_chunk_02
68,NotificationPreference,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:1692-1705,"model NotificationPreference { userId String @unique ... user User @relation(...) } — per-user pref scoped via User which carries organizationId",2026-05-25,prisma_rls_chunk_02
69,Webhook,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1707-1729,"model Webhook { organizationId String ... @@unique([organizationId, name]) @@index([organizationId]) @@index([enabled]) }",2026-05-25,prisma_rls_chunk_02
70,WebhookEvent,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1731-1756,"model WebhookEvent { organizationId String ... @@index([webhookId]) @@index([organizationId]) @@index([eventType]) }",2026-05-25,prisma_rls_chunk_02
71,SubscriptionHistory,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1758-1775,"model SubscriptionHistory { organizationId String ... @@index([organizationId]) @@index([changeType]) @@index([createdAt]) }",2026-05-25,prisma_rls_chunk_02
72,UsageTracking,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1777-1792,"model UsageTracking { organizationId String ... @@unique([organizationId, metricType, period]) @@index([organizationId]) }",2026-05-25,prisma_rls_chunk_02
73,ApiKey,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1794-1812,"model ApiKey { organizationId String ... @@unique([organizationId, name]) @@index([organizationId]) @@index([keyHash]) }",2026-05-25,prisma_rls_chunk_02
74,DemoRequest,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:1814-1855,"model DemoRequest { firstName lastName email company ... convertedToUserId String? } — pre-signup demo intake from leads; no org context yet (lead may not have org)",2026-05-25,prisma_rls_chunk_02
75,FeatureSubscription,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1857-1879,"model FeatureSubscription { organizationId String ... @@unique([organizationId, featureId, status]) @@index([organizationId]) }",2026-05-25,prisma_rls_chunk_02
76,ControlMapping,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:1881-1895,"model ControlMapping { sourceControlId targetControlId ... sourceControl FrameworkControl ... targetControl FrameworkControl } — maps two FrameworkControls (each scoped via ComplianceFramework→Organization); cascade-scoped",2026-05-25,prisma_rls_chunk_02
77,AISuggestion,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1897-1923,"model AISuggestion { organizationId String ... @@index([frameworkId]) @@index([status]) @@index([organizationId]) @@index([suggestedBy]) }",2026-05-25,prisma_rls_chunk_02
78,EvidenceVersion,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:1925-1941,"model EvidenceVersion { controlId String ... control FrameworkControl @relation(...) onDelete: Cascade } — child of FrameworkControl (cascade-scoped via Framework→Organization)",2026-05-25,prisma_rls_chunk_02
79,ChatConversation,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1943-1956,"model ChatConversation { organizationId String userId String ... @@index([organizationId]) @@index([userId]) }",2026-05-25,prisma_rls_chunk_02
80,AISystem,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:1958-1987,"model AISystem { organizationId String ... @@index([organizationId]) @@index([status]) @@index([lifecycleStage]) @@index([riskLevel]) }",2026-05-25,prisma_rls_chunk_02
81,AIRMFCoreFunction,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:1989-2006,"model AIRMFCoreFunction { aiSystemId String ... aiSystem AISystem @relation(...) onDelete: Cascade } — child of AISystem (org-scoped); cascade-scoped",2026-05-25,prisma_rls_chunk_02
82,AIRMFCategory,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2008-2025,"model AIRMFCategory { coreFunctionId String ... coreFunction AIRMFCoreFunction @relation(...) onDelete: Cascade } — child of AIRMFCoreFunction→AISystem (org-scoped)",2026-05-25,prisma_rls_chunk_02
83,AIRMFSubcategory,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2027-2049,"model AIRMFSubcategory { categoryId String ... category AIRMFCategory @relation(...) onDelete: Cascade } — grandchild of AISystem (org-scoped)",2026-05-25,prisma_rls_chunk_02
84,AIRMFTrustworthinessCharacteristic,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2051-2069,"model AIRMFTrustworthinessCharacteristic { aiSystemId String ... aiSystem AISystem @relation(...) onDelete: Cascade } — child of AISystem (org-scoped)",2026-05-25,prisma_rls_chunk_02
85,AIRMFLifecycleStage,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2071-2089,"model AIRMFLifecycleStage { aiSystemId String ... aiSystem AISystem @relation(...) onDelete: Cascade } — child of AISystem (org-scoped)",2026-05-25,prisma_rls_chunk_02
86,AIRMFActor,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2091-2108,"model AIRMFActor { aiSystemId String ... aiSystem AISystem @relation(...) onDelete: Cascade } — child of AISystem (org-scoped)",2026-05-25,prisma_rls_chunk_02
87,AIRMFAssessment,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2110-2132,"model AIRMFAssessment { aiSystemId String ... aiSystem AISystem @relation(...) onDelete: Cascade } — child of AISystem (org-scoped)",2026-05-25,prisma_rls_chunk_02
88,AIRMFProfile,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2134-2151,"model AIRMFProfile { aiSystemId String ... aiSystem AISystem @relation(...) onDelete: Cascade } — child of AISystem (org-scoped)",2026-05-25,prisma_rls_chunk_02
89,AIRMFRiskActivity,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2153-2179,"model AIRMFRiskActivity { aiSystemId String ... aiSystem AISystem @relation(...) onDelete: Cascade } — child of AISystem (org-scoped)",2026-05-25,prisma_rls_chunk_02
90,EUAIActSystem,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2181-2209,"model EUAIActSystem { organizationId String ... @@index([organizationId]) @@index([riskLevel]) @@index([complianceStatus]) }",2026-05-25,prisma_rls_chunk_02
91,EUAIActRiskAssessment,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2211-2231,"model EUAIActRiskAssessment { systemId String organizationId String ... @@index([systemId]) @@index([organizationId]) @@index([assessmentDate]) }",2026-05-25,prisma_rls_chunk_02
92,EUAIActTransparencyReport,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2233-2255,"model EUAIActTransparencyReport { organizationId String ... @@index([organizationId]) @@index([reportingPeriodStart]) @@index([reportingPeriodEnd]) }",2026-05-25,prisma_rls_chunk_02
93,DMAGatekeeper,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2257-2280,"model DMAGatekeeper { organizationId String ... @@index([organizationId]) @@index([designationStatus]) @@index([complianceStatus]) }",2026-05-25,prisma_rls_chunk_02
94,DMAComplianceReport,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2282-2299,"model DMAComplianceReport { gatekeeperId String organizationId String ... @@index([gatekeeperId]) @@index([organizationId]) @@index([submittedToCommission]) }",2026-05-25,prisma_rls_chunk_02
95,DMAObligationTracking,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2301-2319,"model DMAObligationTracking { gatekeeperId String organizationId String ... @@index([gatekeeperId]) @@index([organizationId]) @@index([obligationType]) }",2026-05-25,prisma_rls_chunk_02
96,DSAPlatform,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2321-2346,"model DSAPlatform { organizationId String ... @@index([organizationId]) @@index([platformType]) @@index([isVLOP]) @@index([isVLOSE]) }",2026-05-25,prisma_rls_chunk_02
97,DSAContentModeration,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2348-2366,"model DSAContentModeration { platformId String organizationId String ... @@index([platformId]) @@index([organizationId]) @@index([actionType]) }",2026-05-25,prisma_rls_chunk_02
98,DSATransparencyReport,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2368-2389,"model DSATransparencyReport { platformId String organizationId String ... @@index([platformId]) @@index([organizationId]) @@index([reportingPeriodStart]) }",2026-05-25,prisma_rls_chunk_02
99,DSAIllegalContentReport,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2391-2412,"model DSAIllegalContentReport { platformId String organizationId String ... @@index([platformId]) @@index([organizationId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_02
100,DSAAdRepository,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2414-2436,"model DSAAdRepository { platformId String organizationId String ... @@index([platformId]) @@index([organizationId]) @@index([advertiserName]) }",2026-05-25,prisma_rls_chunk_02
101,DSARiskAssessment,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2438-2464,"model DSARiskAssessment { id String @id ... organizationId String ... @@index([organizationId]) @@index([assessmentDate]) @@index([riskCategory])",2026-05-25,prisma_rls_chunk_03
102,DSANonPersonalizedFeed,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:2466-2487,"model DSANonPersonalizedFeed { id String @id ... platformId String @unique organizationId String ... @@index([organizationId]) @@index([isEnabled])",2026-05-25,prisma_rls_chunk_03
103,EmailVerificationToken,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:2489-2501,"model EmailVerificationToken { id String @id ... userId String token String @unique expiresAt DateTime ... user User @relation(fields: [userId] ...)",2026-05-25,prisma_rls_chunk_03
104,Course,NO,INTENTIONAL_NO_ORG_GLOBAL_REGULATION,server/prisma/schema.prisma:2503-2539,"model Course { id String @id ... title String slug String @unique ... requiredTier String? @default(""Foundation"") ... isPublished Boolean? — global catalog",2026-05-25,prisma_rls_chunk_03
