site_number,file,line,call_signature,verdict,input_source,wrapper_call_line,evidence_quote,severity,verified_at,verified_by
1,./server/src/services/advanced/byokService.ts,99,  private kmsClients: Map<string; KMSClient> = new Map();,LOW_EPHEMERAL,AWS KMS client connection pool keyed by region+credentials,ABSENT,private kmsClients: Map<string; KMSClient> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
2,./server/src/services/advanced/byokService.ts,100,  private azureKeyClients: Map<string; KeyClient> = new Map();,LOW_EPHEMERAL,Azure Key Vault client connection pool keyed by vaultUrl,ABSENT,private azureKeyClients: Map<string; KeyClient> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
3,./server/src/services/advanced/byokService.ts,101,  private gcpKmsClients: Map<string; KeyManagementServiceClient> = new Map();,LOW_EPHEMERAL,GCP KMS client connection pool keyed by projectId+location,ABSENT,private gcpKmsClients: Map<string; KeyManagementServiceClient> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
4,./server/src/services/advanced/byokService.ts,102,  private vaultClients: Map<string; AxiosInstance> = new Map();,LOW_EPHEMERAL,HashiCorp Vault axios client connection pool keyed by vaultUrl,ABSENT,private vaultClients: Map<string; AxiosInstance> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
5,./server/src/services/advanced/deepfakeDetectionService.ts,79,  private resultCache: Map<string; { result: DeepfakeAnalysisResult; timestamp: number }> = new Map();,MEDIUM_CAN_LOSE,Deepfake analysis result cache with 30-minute TTL; recomputable from media,ABSENT,private resultCache: Map<string; { result: DeepfakeAnalysisResult; timestamp: number }> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
6,./server/src/services/advanced/dp/byzantineRobust.ts,142,  const selectedIdxSet = new Set(selected.map((s) => s.idx));,NOT_APPLICABLE,Local temporary Set inside multi-Krum aggregation function,ABSENT,const selectedIdxSet = new Set(selected.map((s) => s.idx));,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
7,./server/src/services/advanced/federatedSwarmService.ts,748,      const uniqueParticipants = new Set(contributions.map(c => c.organizationId)).size;,NOT_APPLICABLE,Local Set used to count unique organizationIds; immediately discarded,ABSENT,const uniqueParticipants = new Set(contributions.map(c => c.organizationId)).size;,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
8,./server/src/services/advanced/federatedSwarmService.ts,1132,    const categories = new Set(risks.map(r => r.category));,NOT_APPLICABLE,Local Set for risk diversity score computation,ABSENT,const categories = new Set(risks.map(r => r.category));,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
9,./server/src/services/advanced/federatedSwarmService.ts,1133,    const severities = new Set(risks.map(r => r.severity));,NOT_APPLICABLE,Local Set for risk diversity score computation,ABSENT,const severities = new Set(risks.map(r => r.severity));,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
10,./server/src/services/advanced/federatedSwarmService.ts,1134,    const statuses = new Set(risks.map(r => r.status));,NOT_APPLICABLE,Local Set for risk diversity score computation,ABSENT,const statuses = new Set(risks.map(r => r.status));,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
11,./server/src/services/advanced/federatedSwarmService.ts,2519,        const keptIds = new Set(byzResult.selectedPeers);,NOT_APPLICABLE,Local Set of selected peer IDs for byzantine-robust aggregation,ABSENT,const keptIds = new Set(byzResult.selectedPeers);,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
12,./server/src/services/advanced/graphNeuralNetworkService.ts,228,  private sageWeights: Map<string; tf.Variable[]> = new Map();,MEDIUM_CAN_LOSE,GraphSAGE ML model weights; recomputable via retraining,ABSENT,private sageWeights: Map<string; tf.Variable[]> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
13,./server/src/services/advanced/graphNeuralNetworkService.ts,229,  private sageBiases: Map<string; tf.Variable[]> = new Map();,MEDIUM_CAN_LOSE,GraphSAGE ML model biases; recomputable via retraining,ABSENT,private sageBiases: Map<string; tf.Variable[]> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
14,./server/src/services/advanced/graphNeuralNetworkService.ts,233,  private tgnMemory: Map<string; tf.Tensor1D> = new Map();,MEDIUM_CAN_LOSE,Temporal Graph Network memory tensors; ML state recomputable,ABSENT,private tgnMemory: Map<string; tf.Tensor1D> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
15,./server/src/services/advanced/graphNeuralNetworkService.ts,237,  private node2vecEmbeddings: Map<string; number[]> = new Map();,MEDIUM_CAN_LOSE,Node2Vec embeddings; recomputable from graph,ABSENT,private node2vecEmbeddings: Map<string; number[]> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
16,./server/src/services/advanced/graphNeuralNetworkService.ts,622,      const headOutputs: Map<string; number[][]> = new Map();,NOT_APPLICABLE,Local Map for per-head outputs inside GAT layer forward pass,ABSENT,const headOutputs: Map<string; number[][]> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
17,./server/src/services/advanced/graphNeuralNetworkService.ts,922,    if (nodes.length === 0) return new Map();,NOT_APPLICABLE,Empty Map returned from function for zero-node case,ABSENT,if (nodes.length === 0) return new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
18,./server/src/services/advanced/graphNeuralNetworkService.ts,1047,        prevNeighbors = new Set(graph.neighbors(prev));,NOT_APPLICABLE,Local Set of graph neighbors inside Node2Vec random walk loop,ABSENT,prevNeighbors = new Set(graph.neighbors(prev));,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
19,./server/src/services/advanced/graphNeuralNetworkService.ts,1049,        prevNeighbors = new Set();,NOT_APPLICABLE,Local Set fallback in catch block,ABSENT,prevNeighbors = new Set();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
20,./server/src/services/advanced/graphNeuralNetworkService.ts,1753,      const valIndicesSet = new Set(indices.slice(valStart; valEnd));,NOT_APPLICABLE,Local Set of validation indices for k-fold cross-validation,ABSENT,const valIndicesSet = new Set(indices.slice(valStart; valEnd));,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
21,./server/src/services/advanced/jitAccessService.ts,79,  private activeSessions: Map<string; JITSession> = new Map();,GAP_HIGH,CRITICAL_MUST_PERSIST: Active JIT privileged-access sessions (security sessions for elevated privileges),ABSENT,private activeSessions: Map<string; JITSession> = new Map();,GAP_HIGH,2026-05-28T00:00:00Z,subagent-cov13-19
22,./server/src/services/advanced/ldapPermissionService.ts,279,  private pendingResponses: Map<number; { resolve: (val: any) => void; reject: (err: Error) => void; entries: any[] }> = new Map();,LOW_EPHEMERAL,In-flight LDAP request promise map (per-connection request multiplexing),ABSENT,private pendingResponses: Map<number; { resolve: (val: any) => void; reject: (err: Error) => void; entries: any[] }> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
23,./server/src/services/advanced/ldapPermissionService.ts,816,  private roleMappings: Map<string; RoleMapping> = new Map();,GAP_HIGH,CRITICAL_MUST_PERSIST: Admin-configured AD group to application role permission mappings; security-critical authz config,ABSENT,private roleMappings: Map<string; RoleMapping> = new Map();,GAP_HIGH,2026-05-28T00:00:00Z,subagent-cov13-19
24,./server/src/services/advanced/ldapPermissionService.ts,817,  private permissionCache: Map<string; { grants: PermissionGrant[]; timestamp: number }> = new Map();,MEDIUM_CAN_LOSE,LDAP permission lookup cache with 5-minute TTL; recomputable via LDAP query,ABSENT,private permissionCache: Map<string; { grants: PermissionGrant[]; timestamp: number }> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
25,./server/src/services/advanced/ldapPermissionService.ts,818,  private userCache: Map<string; { user: ADUser; timestamp: number }> = new Map();,MEDIUM_CAN_LOSE,LDAP user lookup cache with 5-minute TTL; recomputable via LDAP query,ABSENT,private userCache: Map<string; { user: ADUser; timestamp: number }> = new Map();,NONE,2026-05-28T00:00:00Z,subagent-cov13-19
26,./server/src/services/advanced/ldapPermissionService.ts,1077,local Set directGroups,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
27,./server/src/services/advanced/ldapPermissionService.ts,1078,local Set allGroupSet,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
28,./server/src/services/advanced/ldapPermissionService.ts,1123,local Set existingPerms,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
29,./server/src/services/advanced/ldapPermissionService.ts,1133,permissionsSet narrowing,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
30,./server/src/services/advanced/livenessDetectionService.ts,97,activeChallenges Map,GAP_HIGH,CRITICAL_MUST_PERSIST: ,,active liveness auth challenges; no Redis backing,GAP_HIGH,2026-05-28T15:55:00Z,subagent-cov13-20
31,./server/src/services/advanced/livenessDetectionService.ts,98,sessionHistory Map,MEDIUM_CAN_LOSE,,,per-session telemetry recomputable,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
32,./server/src/services/advanced/mlModelsService.ts,726,uniqueValues Set,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
33,./server/src/services/advanced/mlModelsService.ts,1210,uniqueLabels Set,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
34,./server/src/services/advanced/mlModelsService.ts,1331,uniqueValues Set,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
35,./server/src/services/advanced/mlModelsService.ts,1370,uniqueValues Set,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
36,./server/src/services/advanced/mqttService.ts,36,subscriptions Map,LOW_EPHEMERAL,,,MQTT subscription callbacks,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
37,./server/src/services/advanced/multimodalIntakeService.ts,397,speakers Map,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
38,./server/src/services/advanced/neuroSymbolicAIService.ts,999,new Set rootCauses,NOT_APPLICABLE,,,dedup,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
39,./server/src/services/advanced/neuroSymbolicAIService.ts,1001,new Set recommendations,NOT_APPLICABLE,,,dedup,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
40,./server/src/services/advanced/neuroSymbolicAIService.ts,1078,new Set rootCauses,NOT_APPLICABLE,,,dedup,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
41,./server/src/services/advanced/neuroSymbolicAIService.ts,1080,new Set recommendations,NOT_APPLICABLE,,,dedup,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
42,./server/src/services/advanced/neuroSymbolicAIService.ts,1829,_knowledgeGraphCache Map,MEDIUM_CAN_LOSE,,,5-min TTL recomputable,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
43,./server/src/services/advanced/physicalAIService.ts,99,devicePolicies Map,GAP_MEDIUM,HIGH_SHOULD_PERSIST: ,,IoT compliance policies — initialized from hardcoded defaults only,GAP_MEDIUM,2026-05-28T15:55:00Z,subagent-cov13-20
44,./server/src/services/advanced/physicalAIService.ts,100,deviceHealth Map,LOW_EPHEMERAL,,,health-poll status recomputable,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
45,./server/src/services/advanced/redTeamService.ts,474,existingCategories Set,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
46,./server/src/services/advanced/redTeamService.ts,559,vulnTypes Set,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
47,./server/src/services/advanced/redTeamService.ts,803,existingCategories Set,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
48,./server/src/services/advanced/redTeamService.ts,1232,existingCategories Set,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
49,./server/src/services/advanced/redTeamService.ts,1538,baselineMap Map,NOT_APPLICABLE,,,local-scope,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
50,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,905,commonWords Set,NOT_APPLICABLE,,,literal stopwords,NONE,2026-05-28T15:55:00Z,subagent-cov13-20
51,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,980,new Set words1,NOT_APPLICABLE,local fn var,,Jaccard similarity,NONE,2026-05-28T18:30:00Z,s2-cov13-1
52,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,981,new Set words2,NOT_APPLICABLE,local fn var,,Jaccard similarity,NONE,2026-05-28T18:30:00Z,s2-cov13-1
53,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,983,new Set intersection,NOT_APPLICABLE,local fn var,,Jaccard,NONE,2026-05-28T18:30:00Z,s2-cov13-1
54,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,984,new Set union,NOT_APPLICABLE,local fn var,,Jaccard,NONE,2026-05-28T18:30:00Z,s2-cov13-1
55,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2973,feeds Map,NOT_APPLICABLE,derived from prisma read,,reconstructed per call,NONE,2026-05-28T18:30:00Z,s2-cov13-1
56,./server/src/services/advanced/swarmTaskAllocationService.ts,223,agents Map,GAP_HIGH,CRITICAL_MUST_PERSIST: swarm agent registry,,no Redis/DB backing,GAP_HIGH,2026-05-28T18:30:00Z,s2-cov13-1
57,./server/src/services/advanced/swarmTaskAllocationService.ts,224,taskQueue Map,GAP_HIGH,CRITICAL_MUST_PERSIST: prioritized task queue,,no BullMQ backing,GAP_HIGH,2026-05-28T18:30:00Z,s2-cov13-1
58,./server/src/services/advanced/swarmTaskAllocationService.ts,230,activeTasks Map,GAP_HIGH,CRITICAL_MUST_PERSIST: active task state,,restart loses in-flight work,GAP_HIGH,2026-05-28T18:30:00Z,s2-cov13-1
59,./server/src/services/advanced/swarmTaskAllocationService.ts,231,completedTasks Map,GAP_HIGH,CRITICAL_MUST_PERSIST: completed task results,,no DB backing,GAP_HIGH,2026-05-28T18:30:00Z,s2-cov13-1
60,./server/src/services/advanced/swarmTaskAllocationService.ts,236,historicalMetrics Map,GAP_MEDIUM,HIGH_SHOULD_PERSIST: per-org metrics,,no DB backing,GAP_MEDIUM,2026-05-28T18:30:00Z,s2-cov13-1
61,./server/src/services/advanced/swarmTaskAllocationService.ts,237,metricAlerts Map,GAP_MEDIUM,HIGH_SHOULD_PERSIST: per-org alerts,,no DB backing,GAP_MEDIUM,2026-05-28T18:30:00Z,s2-cov13-1
62,./server/src/services/advanced/swarmTaskAllocationService.ts,314,specializations new Map,NOT_APPLICABLE,object literal init,,sub-field of agents,NONE,2026-05-28T18:30:00Z,s2-cov13-1
63,./server/src/services/advanced/swarmTaskAllocationService.ts,1866,taskIds new Set,NOT_APPLICABLE,local fn var,,dep detection,NONE,2026-05-28T18:30:00Z,s2-cov13-1
64,./server/src/services/advanced/vrCollaborativeReviewService.ts,346,activeSessions Map,MEDIUM_CAN_LOSE,backed by prisma.vRCollaborativeSession,,hydrated on startup,NONE,2026-05-28T18:30:00Z,s2-cov13-1
65,./server/src/services/advanced/vrCollaborativeReviewService.ts,347,sessionParticipants Map,MEDIUM_CAN_LOSE,persisted as JSON in vRCollaborativeSession.participants,,rebuilt on restore,NONE,2026-05-28T18:30:00Z,s2-cov13-1
66,./server/src/services/advanced/vrCollaborativeReviewService.ts,348,sessionChats Map,GAP_MEDIUM,HIGH_SHOULD_PERSIST: VR session chat messages,,never persisted,GAP_MEDIUM,2026-05-28T18:30:00Z,s2-cov13-1
67,./server/src/services/advanced/vrCollaborativeReviewService.ts,349,voiceChatStates Map,LOW_EPHEMERAL,voice mute/volume,,ephemeral,NONE,2026-05-28T18:30:00Z,s2-cov13-1
68,./server/src/services/advanced/vrCollaborativeReviewService.ts,350,trainingProgress Map,GAP_MEDIUM,HIGH_SHOULD_PERSIST: VR training progress,,not backed,GAP_MEDIUM,2026-05-28T18:30:00Z,s2-cov13-1
69,./server/src/services/advanced/vrCollaborativeReviewService.ts,351,annotations Map,GAP_MEDIUM,HIGH_SHOULD_PERSIST: VR annotation user content,,never persisted,GAP_MEDIUM,2026-05-28T18:30:00Z,s2-cov13-1
70,./server/src/services/advanced/vrCollaborativeReviewService.ts,733,sessionParticipants.set,NOT_APPLICABLE,operational write to row 65,,already counted,NONE,2026-05-28T18:30:00Z,s2-cov13-1
71,./server/src/services/advanced/webrtcSignalingService.ts,163,sessions Map,LOW_EPHEMERAL,WebRTC session rooms,,ephemeral,NONE,2026-05-28T18:30:00Z,s2-cov13-1
72,./server/src/services/advanced/webrtcSignalingService.ts,164,peersBySocket Map,LOW_EPHEMERAL,socket-peer mapping,,ephemeral,NONE,2026-05-28T18:30:00Z,s2-cov13-1
73,./server/src/services/advanced/webrtcSignalingService.ts,165,eventRateLimits Map,LOW_EPHEMERAL,rate-limit counters,,ephemeral,NONE,2026-05-28T18:30:00Z,s2-cov13-1
74,./server/src/services/advanced/webrtcSignalingService.ts,166,ipConnectionCounts Map,LOW_EPHEMERAL,per-IP counters,,ephemeral,NONE,2026-05-28T18:30:00Z,s2-cov13-1
75,./server/src/services/advanced/webrtcSignalingService.ts,167,reconnectStates Map,LOW_EPHEMERAL,reconnect backoff,,ephemeral,NONE,2026-05-28T18:30:00Z,s2-cov13-1
