file_path,verdict,evidence_lines,classified_by_audit_pass,notes
./Dockerfile,CLEAN,./Dockerfile:1,3.5,infra file read
./docker-compose.elk.yml,CLEAN,./docker-compose.elk.yml:1,3.5,infra file read
./docker-compose.prod.yml,CLEAN,./docker-compose.prod.yml:1,3.5,infra file read
./docker-compose.security.yml,CLEAN,./docker-compose.security.yml:1,3.5,infra file read
./docker-compose.yml,CLEAN,./docker-compose.yml:1,3.5,infra file read
./infrastructure/security/falco/complyeasy_rules.yaml,CLEAN,./infrastructure/security/falco/complyeasy_rules.yaml:1,3.3,303 lines read
./infrastructure/security/falco/docker-compose.falco.yml,CLEAN,./infrastructure/security/falco/docker-compose.falco.yml:1,3.5,infra file read
./infrastructure/security/falco/falco.yaml,CLEAN,./infrastructure/security/falco/falco.yaml:1,3.3,135 lines read
./logstash/pipeline/logstash.conf,CLEAN,./logstash/pipeline/logstash.conf:1,3.3,61 lines read
./nginx/default.conf,CLEAN,./nginx/default.conf:1,3.3,146 lines read
./nginx/nginx.conf,CLEAN,./nginx/nginx.conf:1,3.3,50 lines read
./server/docker/opa/Dockerfile,CLEAN,./server/docker/opa/Dockerfile:1,3.5,infra file read
./server/docker/opa/docker-compose.yml,CLEAN,./server/docker/opa/docker-compose.yml:1,3.5,infra file read
.github/workflows/ci.yml,CLEAN,.github/workflows/ci.yml:1,3.3,770 lines read
.github/workflows/codeql.yml,CLEAN,.github/workflows/codeql.yml:1,3.3,101 lines read
.github/workflows/dependency-scan.yml,CLEAN,.github/workflows/dependency-scan.yml:1,3.3,84 lines read
.github/workflows/mobile.yml,CLEAN,.github/workflows/mobile.yml:1,3.3,161 lines read
.github/workflows/scheduled-backup.yml,CLEAN,.github/workflows/scheduled-backup.yml:1,3.3,119 lines read
components/ACOSDashboard.tsx,GAP_FOUND,components/ACOSDashboard.tsx:1,3.3,console@137; console@164; console@176; console@559; console@772
components/AIComplianceCopilot.tsx,CLEAN,components/AIComplianceCopilot.tsx:1,3.4,component 1187 lines
components/AIFeatures/AgenticVendorRisk.tsx,GAP_FOUND,components/AIFeatures/AgenticVendorRisk.tsx:1,3.3,console@465
components/AIFeatures/AuditSimulator.tsx,GAP_FOUND,components/AIFeatures/AuditSimulator.tsx:1,3.3,console@485; console@544; console@595
components/AIFeatures/BCPGenerator.tsx,GAP_FOUND,components/AIFeatures/BCPGenerator.tsx:1,3.3,console@115; console@131
components/AIFeatures/ContractAnalyzer.tsx,GAP_FOUND,components/AIFeatures/ContractAnalyzer.tsx:1,3.3,console@84
components/AIFeatures/CrossFrameworkMapper.tsx,GAP_FOUND,components/AIFeatures/CrossFrameworkMapper.tsx:1,3.3,console@461
components/AIFeatures/DataMapper.tsx,GAP_FOUND,components/AIFeatures/DataMapper.tsx:1,3.3,console@38
components/AIFeatures/EvidenceCompletenessChecker.tsx,GAP_FOUND,components/AIFeatures/EvidenceCompletenessChecker.tsx:1,3.3,console@688
components/AIFeatures/EvidenceDetailPanel.tsx,CLEAN,components/AIFeatures/EvidenceDetailPanel.tsx:1,3.4,component 520 lines
components/AIFeatures/GapAnalysis.tsx,GAP_FOUND,components/AIFeatures/GapAnalysis.tsx:1,3.3,console@26
components/AIFeatures/HomomorphicAI.tsx,GAP_FOUND,components/AIFeatures/HomomorphicAI.tsx:1,3.3,throw new Error@88; throw new Error@145; throw new Error@186; throw new Error@228; throw new Error@231
components/AIFeatures/NaturalLanguageQuery.tsx,GAP_FOUND,components/AIFeatures/NaturalLanguageQuery.tsx:1,3.3,console@292
components/AIFeatures/PhishingGenerator.tsx,CLEAN,components/AIFeatures/PhishingGenerator.tsx:1,3.4,component 255 lines
components/AIFeatures/PolicyGenerator.tsx,CLEAN,components/AIFeatures/PolicyGenerator.tsx:1,3.4,component 91 lines
components/AIFeatures/RFPResponder.tsx,CLEAN,components/AIFeatures/RFPResponder.tsx:1,3.4,component 374 lines
components/AIFeatures/RegulatoryAutoRemediation.tsx,GAP_FOUND,components/AIFeatures/RegulatoryAutoRemediation.tsx:1,3.3,console@647
components/AIFeatures/VendorScorer.tsx,CLEAN,components/AIFeatures/VendorScorer.tsx:1,3.4,component 66 lines
components/AIRMFAssessments.tsx,GAP_FOUND,components/AIRMFAssessments.tsx:1,3.3,console@54; console@71; console@602; console@657
components/AIRMFDashboard.tsx,CLEAN,components/AIRMFDashboard.tsx:1,3.4,component 300 lines
components/AIReportGenerator.tsx,GAP_FOUND,components/AIReportGenerator.tsx:1,3.3,console@29
components/AISystemCreate.tsx,GAP_FOUND,components/AISystemCreate.tsx:1,3.3,console@48
components/AISystemDetails.tsx,GAP_FOUND,components/AISystemDetails.tsx:1,3.3,console@50; console@63; console@73; console@87; console@97
components/AISystemDetails_Modals.tsx,GAP_FOUND,components/AISystemDetails_Modals.tsx:1,3.3,console@45; console@204; console@356
components/AISystemList.tsx,GAP_FOUND,components/AISystemList.tsx:1,3.3,console@50; console@66
components/AccessibilitySettings.tsx,CLEAN,components/AccessibilitySettings.tsx:1,3.4,component 551 lines
components/AccountDeletionWorkflow.tsx,GAP_FOUND,components/AccountDeletionWorkflow.tsx:1,3.3,console@144
components/AssetManagement.tsx,GAP_FOUND,components/AssetManagement.tsx:1,3.3,throw new Error@207; throw new Error@270; throw new Error@287; throw new Error@311
components/AuditPrepAssistant.tsx,CLEAN,components/AuditPrepAssistant.tsx:1,3.4,component 859 lines
components/AuditTrail.tsx,GAP_FOUND,components/AuditTrail.tsx:1,3.3,console@75
components/AuditorHub.tsx,CLEAN,components/AuditorHub.tsx:1,3.4,component 1292 lines
components/BrandingSettings.tsx,GAP_FOUND,components/BrandingSettings.tsx:1,3.3,throw new Error@80
components/BreachNotificationWizard.tsx,CLEAN,components/BreachNotificationWizard.tsx:1,3.4,component 1510 lines
components/Breadcrumbs.tsx,CLEAN,components/Breadcrumbs.tsx:1,3.4,component 49 lines
components/BusinessImpactAnalysis.tsx,GAP_FOUND,components/BusinessImpactAnalysis.tsx:1,3.3,throw new Error@163; throw new Error@187; throw new Error@203
components/CEMarkingWorkflow.tsx,CLEAN,components/CEMarkingWorkflow.tsx:1,3.4,component 1425 lines
components/CICDGateSettings.tsx,CLEAN,components/CICDGateSettings.tsx:1,3.4,component 971 lines
components/CSRDDashboard.tsx,CLEAN,components/CSRDDashboard.tsx:1,3.4,component 966 lines
components/CertificationTracker.tsx,GAP_FOUND,components/CertificationTracker.tsx:1,3.3,throw new Error@95; console@195; console@266
components/CommandPalette.tsx,CLEAN,components/CommandPalette.tsx:1,3.4,component 229 lines
components/CommunityPage.tsx,CLEAN,components/CommunityPage.tsx:1,3.4,component 766 lines
components/ComplianceCalendar.tsx,GAP_FOUND,components/ComplianceCalendar.tsx:1,3.3,throw new Error@220; throw new Error@237; throw new Error@253; throw new Error@264
components/ComplianceChat.tsx,GAP_FOUND,components/ComplianceChat.tsx:1,3.3,console@132
components/ComplianceCostDashboard.tsx,GAP_FOUND,components/ComplianceCostDashboard.tsx:1,3.3,throw new Error@81; console@182; console@253; console@263
components/ComplianceGauge.tsx,CLEAN,components/ComplianceGauge.tsx:1,3.4,component 90 lines
components/ComplianceScoreForecasting.tsx,GAP_FOUND,components/ComplianceScoreForecasting.tsx:1,3.3,console@340; console@349; console@430
components/ControlTestResults.tsx,CLEAN,components/ControlTestResults.tsx:1,3.4,component 773 lines
components/CookieConsentBanner.tsx,GAP_FOUND,components/CookieConsentBanner.tsx:1,3.3,console@101
components/DMAGatekeeperManagement.tsx,CLEAN,components/DMAGatekeeperManagement.tsx:1,3.4,component 758 lines
components/DORADashboard.tsx,CLEAN,components/DORADashboard.tsx:1,3.4,component 1010 lines
components/DPIAWorkflow.tsx,GAP_FOUND,components/DPIAWorkflow.tsx:1,3.3,throw new Error@153; console@233; console@302; console@344
components/DSAPlatformManagement.tsx,GAP_FOUND,components/DSAPlatformManagement.tsx:1,3.3,console@206; console@215; console@224; console@255; console@285
components/DarkModeToggle.tsx,CLEAN,components/DarkModeToggle.tsx:1,3.4,component 82 lines
components/Dashboard.tsx,GAP_FOUND,components/Dashboard.tsx:1,3.3,console@205
components/DemoBookingForm.tsx,CLEAN,components/DemoBookingForm.tsx:1,3.4,component 544 lines
components/DigitalProductPassport.tsx,CLEAN,components/DigitalProductPassport.tsx:1,3.4,component 1490 lines
components/DocsPage.tsx,GAP_FOUND,components/DocsPage.tsx:1,3.3,console@195
components/ESGReportingModule.tsx,CLEAN,components/ESGReportingModule.tsx:1,3.4,component 1219 lines
components/EUAIActDashboard.tsx,CLEAN,components/EUAIActDashboard.tsx:1,3.4,component 1149 lines
components/EUCRADashboard.tsx,CLEAN,components/EUCRADashboard.tsx:1,3.4,component 1406 lines
components/EcodesignDashboard.tsx,CLEAN,components/EcodesignDashboard.tsx:1,3.4,component 1036 lines
components/EnvironmentalLifecycle.tsx,CLEAN,components/EnvironmentalLifecycle.tsx:1,3.4,component 1115 lines
components/EvidenceCollectionRules.tsx,CLEAN,components/EvidenceCollectionRules.tsx:1,3.4,component 834 lines
components/ExceptionManagement.tsx,GAP_FOUND,components/ExceptionManagement.tsx:1,3.3,throw new Error@110; console@185; console@263; console@294
components/ExecutiveDashboard.tsx,GAP_FOUND,components/ExecutiveDashboard.tsx:1,3.3,throw new Error@165
components/FeatureLibrary.tsx,INTENTIONAL_STATIC,components/FeatureLibrary.tsx:1,3.4,audit-exclusions.json intentional static
components/FeatureMarketplace.tsx,GAP_FOUND,components/FeatureMarketplace.tsx:1,3.3,console@107
components/FrameworkDetails.tsx,GAP_FOUND,components/FrameworkDetails.tsx:1,3.3,console@99; console@175; console@222; console@250; console@269
components/Frameworks.tsx,GAP_FOUND,components/Frameworks.tsx:1,3.3,console@141; console@263; console@291; console@323; console@381
components/GlobalSearch.tsx,GAP_FOUND,components/GlobalSearch.tsx:1,3.3,console@247
components/GoalModal.tsx,GAP_FOUND,components/GoalModal.tsx:1,3.3,console@82; console@149
components/GovernanceManager.tsx,CLEAN,components/GovernanceManager.tsx:1,3.4,component 1289 lines
components/HomeOS.tsx,CLEAN,components/HomeOS.tsx:1,3.4,component 235 lines
components/IncidentManagement.tsx,GAP_FOUND,components/IncidentManagement.tsx:1,3.3,throw new Error@252; throw new Error@329; throw new Error@356; throw new Error@394
components/IntegrationModal.tsx,GAP_FOUND,components/IntegrationModal.tsx:1,3.3,throw new Error@263; throw new Error@560
components/Integrations.tsx,GAP_FOUND,components/Integrations.tsx:1,3.3,console@580; console@631; console@642; console@649; console@683
components/IssueManagement.tsx,CLEAN,components/IssueManagement.tsx:1,3.4,component 1544 lines
components/LandingPage.tsx,GAP_FOUND,components/LandingPage.tsx:1,3.3,console@131; console@168; console@197; console@216; console@795
components/LanguageSwitcher.tsx,CLEAN,components/LanguageSwitcher.tsx:1,3.4,component 238 lines
components/Layout.tsx,CLEAN,components/Layout.tsx:1,3.4,component 473 lines
components/LearnPage.tsx,CLEAN,components/LearnPage.tsx:1,3.4,component 777 lines
components/MDMDashboard.tsx,GAP_FOUND,components/MDMDashboard.tsx:1,3.3,console@159
components/MaturityAssessment.tsx,GAP_FOUND,components/MaturityAssessment.tsx:1,3.3,throw new Error@269
components/MonitoringDashboard.tsx,CLEAN,components/MonitoringDashboard.tsx:1,3.4,component 1224 lines
components/MyTasks.tsx,GAP_FOUND,components/MyTasks.tsx:1,3.3,console@72; console@151
components/NIS2Dashboard.tsx,CLEAN,components/NIS2Dashboard.tsx:1,3.4,component 936 lines
components/NPSSurvey.tsx,CLEAN,components/NPSSurvey.tsx:1,3.4,component 284 lines
components/NotificationCenter.tsx,GAP_FOUND,components/NotificationCenter.tsx:1,3.3,console@77; console@99; console@112; console@122; console@131
components/OfflineBanner.tsx,CLEAN,components/OfflineBanner.tsx:1,3.4,component 143 lines
components/Onboarding/OnboardingCelebration.tsx,CLEAN,components/Onboarding/OnboardingCelebration.tsx:1,3.4,component 168 lines
components/Onboarding/OnboardingChecklist.tsx,CLEAN,components/Onboarding/OnboardingChecklist.tsx:1,3.4,component 211 lines
components/Onboarding/OnboardingHint.tsx,CLEAN,components/Onboarding/OnboardingHint.tsx:1,3.4,component 80 lines
components/Onboarding/OnboardingModal.tsx,CLEAN,components/Onboarding/OnboardingModal.tsx:1,3.4,component 105 lines
components/Onboarding/OnboardingOverlay.tsx,CLEAN,components/Onboarding/OnboardingOverlay.tsx:1,3.4,component 216 lines
components/Onboarding/OnboardingProgress.tsx,CLEAN,components/Onboarding/OnboardingProgress.tsx:1,3.4,component 36 lines
components/Onboarding/OnboardingTierBadge.tsx,CLEAN,components/Onboarding/OnboardingTierBadge.tsx:1,3.4,component 67 lines
