site_number,file,line,call_signature,verdict,leaks,evidence_quote,severity,verified_at,verified_by
206,./server/src/controllers/acosController.ts,2862,      logger.error('Request JIT access error'; {,UNCLASSIFIED,,,UNCLASSIFIED,,
207,./server/src/controllers/acosController.ts,2878,      logger.error('Get JIT access sessions error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
208,./server/src/controllers/acosController.ts,2892,      logger.error('Revoke JIT session error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
209,./server/src/controllers/acosController.ts,2905,      logger.error('Cancel JIT access request error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
210,./server/src/controllers/acosController.ts,2938,      logger.error('Get pending JIT access requests error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
211,./server/src/controllers/acosController.ts,2979,      logger.error('Get all JIT access requests error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
212,./server/src/controllers/acosController.ts,3002,      logger.error('Approve JIT access request error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
213,./server/src/controllers/acosController.ts,3030,      logger.error('Deny JIT access request error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
214,./server/src/controllers/acosController.ts,3051,      logger.info(`Generated ${scheme} homomorphic keys for user ${authReq.user!.id}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
215,./server/src/controllers/acosController.ts,3055,      logger.error('Generate homomorphic keys error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
216,./server/src/controllers/acosController.ts,3083,      logger.error('Encrypt data error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
217,./server/src/controllers/acosController.ts,3103,      logger.error('Decrypt data error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
218,./server/src/controllers/acosController.ts,3132,      logger.error('Encrypted linear regression error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
219,./server/src/controllers/acosController.ts,3156,      logger.error('Encrypted statistics error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
220,./server/src/controllers/acosController.ts,3185,      logger.error('Encrypted neural network error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
221,./server/src/controllers/aiController.ts,27,      logger.error('Generate report error'; {,UNCLASSIFIED,,,UNCLASSIFIED,,
222,./server/src/controllers/aiController.ts,57,      logger.error('Generate policy error'; {,UNCLASSIFIED,,,UNCLASSIFIED,,
223,./server/src/controllers/aiController.ts,82,      logger.error('Analyze contract error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
224,./server/src/controllers/aiController.ts,95,      logger.error('Gap analysis error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
225,./server/src/controllers/aiController.ts,108,      logger.error('RFP response error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
226,./server/src/controllers/aiController.ts,127,      logger.error('Generate phishing error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
227,./server/src/controllers/aiController.ts,140,      logger.error('Score vendor error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
228,./server/src/controllers/aiController.ts,152,      logger.error('Generate data map error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
229,./server/src/controllers/aiController.ts,170,      logger.error('Generate BCP error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
230,./server/src/controllers/aiController.ts,198,      logger.error('Chat error'; {,UNCLASSIFIED,,,UNCLASSIFIED,,
231,./server/src/controllers/aiController.ts,235,      logger.error('Cross-framework mapping error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
232,./server/src/controllers/aiController.ts,259,      logger.error('Auto-remediation error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
233,./server/src/controllers/aiController.ts,282,      logger.error('Evidence completeness error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
234,./server/src/controllers/aiController.ts,305,      logger.error('Agentic vendor risk error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
235,./server/src/controllers/aiController.ts,330,      logger.error('Audit simulation error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
236,./server/src/controllers/aiController.ts,353,      logger.error('NL query error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
237,./server/src/controllers/aiController.ts,377,      logger.error('Copilot error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
238,./server/src/controllers/aiController.ts,401,      logger.error('Forecasting error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
239,./server/src/controllers/aiController.ts,425,      logger.error('Process analysis error'; { error: error.message; userId: (req as AuthRequest).user?.id });,UNCLASSIFIED,,,UNCLASSIFIED,,
240,./server/src/controllers/aiRmfController.ts,31,      logger.error('Create AI system error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
241,./server/src/controllers/aiRmfController.ts,52,      logger.error('Get AI systems error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
242,./server/src/controllers/aiRmfController.ts,68,      logger.error('Get AI system error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
243,./server/src/controllers/aiRmfController.ts,92,      logger.error('Update AI system error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
244,./server/src/controllers/aiRmfController.ts,115,      logger.error('Delete AI system error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
245,./server/src/controllers/aiRmfController.ts,144,      logger.error('Update core function error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
246,./server/src/controllers/aiRmfController.ts,172,      logger.error('Update category error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
247,./server/src/controllers/aiRmfController.ts,196,      logger.error('Update subcategory error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
248,./server/src/controllers/aiRmfController.ts,225,      logger.error('Update trustworthiness characteristic error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
249,./server/src/controllers/aiRmfController.ts,254,      logger.error('Update lifecycle stage error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
250,./server/src/controllers/aiRmfController.ts,274,      logger.error('Add actor error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
251,./server/src/controllers/aiRmfController.ts,290,      logger.error('Remove actor error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
252,./server/src/controllers/aiRmfController.ts,318,      logger.error('Create assessment error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
253,./server/src/controllers/aiRmfController.ts,334,      logger.error('Get assessments error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
254,./server/src/controllers/aiRmfController.ts,357,      logger.error('Delete assessment error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
255,./server/src/controllers/aiRmfController.ts,377,      logger.error('Create profile error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
256,./server/src/controllers/aiRmfController.ts,405,      logger.error('Create risk activity error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
257,./server/src/controllers/aiRmfController.ts,429,      logger.error('Update risk activity error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
258,./server/src/controllers/aiRmfController.ts,449,      logger.error('Calculate trustworthiness score error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
259,./server/src/controllers/aiRmfController.ts,464,      logger.error('Get dashboard data error:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
260,./server/src/controllers/auditController.ts,54,      logger.error('List audit logs error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
261,./server/src/controllers/auditController.ts,125,            logger.error('Failed to update audit log with blockchain info'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
262,./server/src/controllers/auditController.ts,128,          logger.info(`Audit log ${auditLog.id} submitted to blockchain: ${blockchainRecord.transactionHash}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
263,./server/src/controllers/auditController.ts,131,          logger.warn('Failed to submit audit log to blockchain'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
264,./server/src/controllers/auditController.ts,137,      logger.error('Create audit log error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
265,./server/src/controllers/auditController.ts,187,      logger.error('Export audit logs error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
266,./server/src/controllers/auditController.ts,242,      logger.error('Archive audit logs error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
267,./server/src/controllers/authController.ts,62,      logger.warn('[Auth] No CAPTCHA secret configured (dev mode)');,UNCLASSIFIED,,,UNCLASSIFIED,,
268,./server/src/controllers/authController.ts,90,        logger.warn('[Auth] CAPTCHA verification failed'; { errors: result['error-codes'] });,UNCLASSIFIED,,,UNCLASSIFIED,,
269,./server/src/controllers/authController.ts,95,      logger.error('[Auth] CAPTCHA verification service error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
270,./server/src/controllers/authController.ts,178,        logger.info(`New user registered: ${email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
271,./server/src/controllers/authController.ts,198,          logger.warn(`Failed to send magic link email to ${email}; but continuing with token generation`);,UNCLASSIFIED,,,UNCLASSIFIED,,
272,./server/src/controllers/authController.ts,202,        logger.error(`Failed to send magic link email to ${email}:`; error.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
273,./server/src/controllers/authController.ts,218,        logger.debug(`[DEV] Magic link token for ${response.email || 'user'}: ${token}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
274,./server/src/controllers/authController.ts,223,      logger.error('Request magic link error'; {,UNCLASSIFIED,,,UNCLASSIFIED,,
275,./server/src/controllers/authController.ts,344,        logger.warn('Failed to update lastLogin; continuing with login'; updateErr?.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
276,./server/src/controllers/authController.ts,360,        logger.warn('Failed to create audit log; continuing with login'; auditErr?.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
277,./server/src/controllers/authController.ts,394,      logger.info(`User logged in: ${user.email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
278,./server/src/controllers/authController.ts,396,      logger.error('Verify magic link error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
279,./server/src/controllers/authController.ts,449,      logger.error('Refresh token error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
280,./server/src/controllers/authController.ts,554,          logger.info(`[Auth] Migrated password hash to PBKDF2-SHA256 for user ${user.id}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
281,./server/src/controllers/authController.ts,556,          logger.warn('[Auth] Failed to rehash password during login'; err?.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
282,./server/src/controllers/authController.ts,567,        logger.warn('[Auth] Failed to update lastLogin'; err?.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
283,./server/src/controllers/authController.ts,599,        logger.warn('[Auth] Session management not available; continuing without it'; error?.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
284,./server/src/controllers/authController.ts,615,        logger.warn('[Auth] Failed to write audit log'; auditErr?.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
285,./server/src/controllers/authController.ts,650,      logger.error('Login error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
286,./server/src/controllers/authController.ts,706,        logger.info(`User ${email} already exists; sending magic link for login`);,UNCLASSIFIED,,,UNCLASSIFIED,,
287,./server/src/controllers/authController.ts,725,            logger.warn(`Failed to send magic link email to ${email}; but continuing with token generation`);,UNCLASSIFIED,,,UNCLASSIFIED,,
288,./server/src/controllers/authController.ts,728,          logger.error(`Failed to send magic link email to ${email}:`; error.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
289,./server/src/controllers/authController.ts,744,          logger.debug(`[Dev] Magic link token for existing user ${email}: ${token}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
290,./server/src/controllers/authController.ts,801,        logger.warn('Registration: email send failed'; { email; error: emailError?.message });,UNCLASSIFIED,,,UNCLASSIFIED,,
291,./server/src/controllers/authController.ts,819,        logger.debug(`[DEV] Magic link token for ${email}: ${token}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
292,./server/src/controllers/authController.ts,824,      logger.info(`New user registered: ${email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
293,./server/src/controllers/authController.ts,826,      logger.error('Registration error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
294,./server/src/controllers/authController.ts,963,      logger.info(`User completed 2FA login: ${user.email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
295,./server/src/controllers/authController.ts,965,      logger.error('Complete 2FA login error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
296,./server/src/controllers/authController.ts,1022,          logger.warn('Failed to send email confirmation; but profile was updated'; emailError);,UNCLASSIFIED,,,UNCLASSIFIED,,
297,./server/src/controllers/authController.ts,1059,      logger.info(`User profile updated: ${userId}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
298,./server/src/controllers/authController.ts,1061,      logger.error('Update profile error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
299,./server/src/controllers/authController.ts,1141,      logger.info(`Password changed for user: ${userId}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
300,./server/src/controllers/authController.ts,1143,      logger.error('Change password error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
301,./server/src/controllers/authController.ts,1208,      logger.info(`Avatar uploaded for user: ${userId}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
302,./server/src/controllers/authController.ts,1210,      logger.error('Upload avatar error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
303,./server/src/controllers/authController.ts,1278,        logger.warn('[Auth] Session termination not available'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
304,./server/src/controllers/authController.ts,1286,      logger.error('Logout error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
305,./server/src/controllers/authController.ts,1315,        logger.info(`[Auth] Password reset requested for ${email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
306,./server/src/controllers/authController.ts,1317,        logger.info(`[Auth] Password reset requested for unknown/inactive email: ${email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
307,./server/src/controllers/authController.ts,1320,      logger.error('[Auth] Error processing forgot password'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
308,./server/src/controllers/authController.ts,1363,    logger.info(`[Auth] Password reset completed for user ${user.email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
309,./server/src/controllers/billingController.ts,92,      logger.error('Create checkout error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
310,./server/src/controllers/billingController.ts,123,      logger.error('Create portal session error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
311,./server/src/controllers/billingController.ts,175,      logger.error('Stripe webhook error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
312,./server/src/controllers/billingController.ts,197,      logger.error('Get subscription error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
313,./server/src/controllers/billingController.ts,218,      logger.error('Get available tiers error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
314,./server/src/controllers/billingController.ts,263,      logger.error('Preview tier change error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
315,./server/src/controllers/billingController.ts,315,      logger.error('Change tier error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
316,./server/src/controllers/billingController.ts,353,      logger.error('Cancel subscription error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
317,./server/src/controllers/billingController.ts,379,      logger.error('Reactivate subscription error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
318,./server/src/controllers/billingController.ts,423,      logger.error('Add add-on error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
319,./server/src/controllers/billingController.ts,454,      logger.error('Remove add-on error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
320,./server/src/controllers/billingController.ts,475,      logger.error('Get usage metrics error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
321,./server/src/controllers/billingController.ts,502,      logger.error('Get subscription history error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
322,./server/src/controllers/billingController.ts,533,      logger.error('Request quote error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
323,./server/src/controllers/billingController.ts,603,      logger.error('Process refund error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
324,./server/src/controllers/billingController.ts,640,      logger.error('Get available features error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
325,./server/src/controllers/billingController.ts,679,      logger.error('Get feature subscriptions error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
326,./server/src/controllers/billingController.ts,708,      logger.error('Subscribe to feature error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
327,./server/src/controllers/billingController.ts,728,      logger.error('Unsubscribe from feature error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
328,./server/src/controllers/billingController.ts,757,      logger.error('Subscribe to bundle error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
329,./server/src/controllers/billingController.ts,790,      logger.error('Get available bundles error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
330,./server/src/controllers/billingController.ts,818,      logger.error('Check feature access error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
331,./server/src/controllers/controlMappingsController.ts,92,      logger.error('Create mapping error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
332,./server/src/controllers/controlMappingsController.ts,129,      logger.error('List mappings error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
333,./server/src/controllers/controlMappingsController.ts,189,      logger.error('Get mappings error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
334,./server/src/controllers/controlMappingsController.ts,259,      logger.error('Update mapping error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
335,./server/src/controllers/controlMappingsController.ts,316,      logger.error('Delete mapping error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
336,./server/src/controllers/controlMappingsController.ts,394,      logger.error('Export mappings error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
337,./server/src/controllers/demoController.ts,110,      logger.info(`Demo request submitted: ${demoRequest.email} (${demoRequest.company})`);,UNCLASSIFIED,,,UNCLASSIFIED,,
338,./server/src/controllers/demoController.ts,259,      logger.info(`Demo request updated: ${id} - Status: ${status}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
339,./server/src/controllers/demoController.ts,299,      logger.info(`Demo scheduled for ${demoRequest.email} at ${scheduledAt}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
340,./server/src/controllers/demoController.ts,341,      logger.info(`Demo request converted: ${id} -> User ${userId}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
341,./server/src/controllers/demoController.ts,458,      logger.info(`Demo request deleted: ${id}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
342,./server/src/controllers/demoController.ts,629,      logger.info(`Demo request email sent to contact@complyeasyai.com for ${demoRequest.email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
343,./server/src/controllers/demoController.ts,631,      logger.error('Failed to send demo request email'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
344,./server/src/controllers/demoController.ts,634,        logger.error(`Email error details: ${error.message}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
345,./server/src/controllers/demoController.ts,692,      logger.info(`Welcome email webhook dispatched for ${demoRequest.email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
346,./server/src/controllers/demoController.ts,694,      logger.error('Failed to dispatch welcome email webhook'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
347,./server/src/controllers/demoController.ts,743,      logger.info(`Demo request notification webhook dispatched for ${demoRequest.email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
348,./server/src/controllers/demoController.ts,745,      logger.error('Failed to dispatch demo request notification webhook'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
349,./server/src/controllers/demoController.ts,785,      logger.error('Failed to dispatch status change webhook'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
350,./server/src/controllers/demoController.ts,825,      logger.info(`Schedule confirmation webhook dispatched for ${demoRequest.email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
351,./server/src/controllers/demoController.ts,827,      logger.error('Failed to dispatch schedule confirmation webhook'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
352,./server/src/controllers/demoController.ts,867,      logger.info(`Conversion webhook dispatched for ${demoRequest.email}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
353,./server/src/controllers/demoController.ts,869,      logger.error('Failed to dispatch conversion webhook'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
354,./server/src/controllers/evidenceVersioningController.ts,51,      logger.error('Get versions error'; { error: error.message; stack: error.stack; controlId: controlId });,UNCLASSIFIED,,,UNCLASSIFIED,,
355,./server/src/controllers/evidenceVersioningController.ts,96,      logger.error('Get version error'; { error: error.message; stack: error.stack });,UNCLASSIFIED,,,UNCLASSIFIED,,
356,./server/src/controllers/evidenceVersioningController.ts,172,      logger.error('Create version error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
357,./server/src/controllers/evidenceVersioningController.ts,238,      logger.error('Restore version error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
358,./server/src/controllers/evidenceVersioningController.ts,293,      logger.error('Delete version error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
359,./server/src/controllers/featureModulesController.ts,289,    logger.error('Error fetching CE products:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
360,./server/src/controllers/featureModulesController.ts,382,    logger.error('Error fetching CE documents:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
361,./server/src/controllers/featureModulesController.ts,397,    logger.error('Error fetching CE risk items:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
362,./server/src/controllers/featureModulesController.ts,443,    logger.error('Error fetching CE surveillance checks:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
363,./server/src/controllers/featureModulesController.ts,460,    logger.error('Error fetching digital product passports:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
364,./server/src/controllers/featureModulesController.ts,524,    logger.error('Error fetching DPP materials:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
365,./server/src/controllers/featureModulesController.ts,546,    logger.error('Error fetching DPP carbon data:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
366,./server/src/controllers/featureModulesController.ts,565,    logger.error('Error fetching DPP supply chain:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
367,./server/src/controllers/featureModulesController.ts,590,    logger.error('Error fetching DPP sustainability:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
368,./server/src/controllers/featureModulesController.ts,607,    logger.error('Error fetching DPP certifications:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
369,./server/src/controllers/featureModulesController.ts,898,    logger.error('Error aggregating SBOM licenses:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
370,./server/src/controllers/featureModulesController.ts,916,    logger.error('Error fetching surveillance plans:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
371,./server/src/controllers/featureModulesController.ts,977,    logger.error('Error fetching product recalls:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
372,./server/src/controllers/frameworksController.ts,54,      logger.error('List frameworks error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
373,./server/src/controllers/frameworksController.ts,118,      logger.error('Get framework error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
374,./server/src/controllers/frameworksController.ts,171,          logger.info(`Auto-created ${controlsCreated.length} controls for EU framework: ${sanitizedName}`; {,UNCLASSIFIED,,,UNCLASSIFIED,,
375,./server/src/controllers/frameworksController.ts,176,          logger.error(`Failed to auto-create controls for EU framework: ${sanitizedName}`; controlError);,UNCLASSIFIED,,,UNCLASSIFIED,,
376,./server/src/controllers/frameworksController.ts,192,      logger.info(`Framework created: ${framework.id}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
377,./server/src/controllers/frameworksController.ts,194,      logger.error('Create framework error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
378,./server/src/controllers/frameworksController.ts,263,          logger.warn(`Framework ${id} audit date set to past date: ${auditDate.toISOString()}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
379,./server/src/controllers/frameworksController.ts,295,      logger.error('Update framework error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
380,./server/src/controllers/frameworksController.ts,382,          logger.warn('[Framework] Notification service not available'; notifError);,UNCLASSIFIED,,,UNCLASSIFIED,,
381,./server/src/controllers/frameworksController.ts,398,      logger.error('Resolve conflict error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
382,./server/src/controllers/frameworksController.ts,431,      logger.error('Delete framework error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
383,./server/src/controllers/frameworksController.ts,498,      logger.error('Export control error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
384,./server/src/controllers/frameworksController.ts,567,      logger.error('Create control error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
385,./server/src/controllers/frameworksController.ts,631,          logger.warn('Failed to update control loop confidence'; acosError);,UNCLASSIFIED,,,UNCLASSIFIED,,
386,./server/src/controllers/frameworksController.ts,653,          logger.warn('Failed to send owner assignment notification'; notificationError);,UNCLASSIFIED,,,UNCLASSIFIED,,
387,./server/src/controllers/frameworksController.ts,660,        logger.warn(`Control ${control.id} status updated to ${updateData.status} but evidence is required and not uploaded`);,UNCLASSIFIED,,,UNCLASSIFIED,,
388,./server/src/controllers/frameworksController.ts,687,      logger.error('Update control error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
389,./server/src/controllers/frameworksController.ts,750,      logger.error('Bulk update controls error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
390,./server/src/controllers/frameworksController.ts,762,      logger.info(`Upload evidence request: frameworkId=${frameworkId}; controlId=${controlId}; organizationId=${organizationId}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
391,./server/src/controllers/frameworksController.ts,770,        logger.warn(`Framework not found: ${frameworkId} for organization ${organizationId}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
392,./server/src/controllers/frameworksController.ts,779,        logger.warn(`Control not found: ${controlId} for framework ${frameworkId}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
393,./server/src/controllers/frameworksController.ts,786,        logger.warn('No file uploaded in request');,UNCLASSIFIED,,,UNCLASSIFIED,,
394,./server/src/controllers/frameworksController.ts,790,      logger.info(`File received: ${file.originalname}; size: ${file.size}; type: ${file.mimetype}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
395,./server/src/controllers/frameworksController.ts,802,        logger.info(`File uploaded to S3: ${uploadResult.url}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
396,./server/src/controllers/frameworksController.ts,804,        logger.error('S3 upload error'; s3Error);,UNCLASSIFIED,,,UNCLASSIFIED,,
397,./server/src/controllers/frameworksController.ts,828,        logger.warn('Failed to create evidence version'; versionError);,UNCLASSIFIED,,,UNCLASSIFIED,,
398,./server/src/controllers/frameworksController.ts,850,        logger.info(`Evidence updated for control: ${controlId}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
399,./server/src/controllers/frameworksController.ts,861,        logger.error('Database update error'; dbError);,UNCLASSIFIED,,,UNCLASSIFIED,,
400,./server/src/controllers/frameworksController.ts,865,      logger.error('Upload evidence error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
401,./server/src/controllers/frameworksController.ts,928,        logger.error('Failed to generate signed URL'; s3Error);,UNCLASSIFIED,,,UNCLASSIFIED,,
