op_number,file,line,model,operation,verdict,evidence_function_name,evidence_org_check_line,scan_hint
001,./server/src/services/advanced/acosService.ts,157,complianceGoal,create,ORG_IN_FUNC_VERIFIED_v21,async createComplianceGoal(,function body lines 89-169 establishes organizationId in scope,ORG_IN_FUNC_NOT_IN_WRITE
002,./server/src/services/advanced/acosService.ts,170,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async createComplianceGoal(,organizationId present in context lines around L11,ORG_SCOPED
003,./server/src/services/advanced/acosService.ts,273,controlLoop,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async createControlLoop(,organizationId present in context lines around L11,ORG_SCOPED
004,./server/src/services/advanced/acosService.ts,296,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async createControlLoop(,organizationId present in context lines around L11,ORG_SCOPED
005,./server/src/services/advanced/acosService.ts,483,controlLoop,update,ORG_IN_FUNC_VERIFIED_v21,async executeControlLoop(,ORG_REFS_IN_FUNC=4; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
006,./server/src/services/advanced/acosService.ts,549,controlLoop,update,ORG_IN_FUNC_VERIFIED_v21,async executeControlLoop(,ORG_REFS_IN_FUNC=4; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
007,./server/src/services/advanced/acosService.ts,568,controlLoop,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async executeControlLoop(,function body lines 346-426 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
008,./server/src/services/advanced/acosService.ts,595,controlLoop,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async executeControlLoop(,function body lines 346-426 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
009,./server/src/services/advanced/acosService.ts,661,frameworkControl,update,ORG_IN_FUNC_VERIFIED_v21,private async autonomousAction(,ORG_REFS_IN_FUNC=4; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
010,./server/src/services/advanced/acosService.ts,715,complianceDebt,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async trackComplianceDebt(,organizationId present in context lines around L11,ORG_SCOPED
011,./server/src/services/advanced/acosService.ts,730,auditLog,create,ORG_IN_FUNC_VERIFIED_v21,async trackComplianceDebt(,ORG_REFS_IN_FUNC=5; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
012,./server/src/services/advanced/acosService.ts,903,changeImpact,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async forecastChangeImpact(,organizationId present in context lines around L11,ORG_SCOPED
013,./server/src/services/advanced/acosService.ts,919,auditLog,create,ORG_IN_FUNC_VERIFIED_v21,async forecastChangeImpact(,function body lines 852-932 establishes organizationId in scope,ORG_IN_FUNC_NOT_IN_WRITE
014,./server/src/services/advanced/acosService.ts,1198,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async resolveChangeImpact(,organizationId present in context lines around L11,ORG_SCOPED
015,./server/src/services/advanced/acosService.ts,1209,changeImpact,update,ORG_IN_FUNC_VERIFIED_v21,async resolveChangeImpact(,ORG_REFS_IN_FUNC=6; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
016,./server/src/services/advanced/acosService.ts,1427,controlLoop,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async updateControlLoop(,function body lines 1390-1470 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
017,./server/src/services/advanced/acosService.ts,1433,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async updateControlLoop(,organizationId present in context lines around L11,ORG_SCOPED
018,./server/src/services/advanced/acosService.ts,1488,controlLoop,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,"async pauseControlLoop(loopId: string, organizationId: string, userId: string): ",function body lines 1471-1551 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
019,./server/src/services/advanced/acosService.ts,1494,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"async pauseControlLoop(loopId: string, organizationId: string, userId: string): ",organizationId present in context lines around L11,ORG_SCOPED
020,./server/src/services/advanced/acosService.ts,1549,controlLoop,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,"async resumeControlLoop(loopId: string, organizationId: string, userId: string):",function body lines 1532-1612 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
021,./server/src/services/advanced/acosService.ts,1555,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"async resumeControlLoop(loopId: string, organizationId: string, userId: string):",organizationId present in context lines around L11,ORG_SCOPED
022,./server/src/services/advanced/acosService.ts,1620,controlLoop,delete,ORG_IN_FUNC_VERIFIED_v21,"async deleteControlLoop(loopId: string, organizationId: string, userId: string):",ORG_REFS_IN_FUNC=6; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
023,./server/src/services/advanced/acosService.ts,1625,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"async deleteControlLoop(loopId: string, organizationId: string, userId: string):",organizationId present in context lines around L11,ORG_SCOPED
024,./server/src/services/advanced/acosService.ts,1781,complianceGoal,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async updateComplianceGoal(,function body lines 1724-1804 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
025,./server/src/services/advanced/acosService.ts,1787,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async updateComplianceGoal(,organizationId present in context lines around L11,ORG_SCOPED
