site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
1,./server/src/controllers/frameworksController.ts,787,"throw new AppError('No file uploaded. Please select a file to upload.', 400);",NOT_MULTER,NONE,"User-facing 400 error returned when req.file is absent in upload handler; not a multer config call",2026-05-29T20:30:00Z,session12_subagent_17,session12,c2b396716f39e27325e3d66bef78657ce1f9c687f8bc797d3c7e4744a732e87f
2,./server/src/generated/prisma/client/index.d.ts,2691,"* `prisma.fileUpload`: Exposes CRUD operations for the **FileUpload** model.",JSDOC_EXAMPLE,NONE,"JSDoc comment in Prisma-generated type definitions describing FileUpload model accessor",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
3,./server/src/generated/prisma/client/index.d.ts,2695,"* const fileUploads = await prisma.fileUpload.findMany()",JSDOC_EXAMPLE,NONE,"JSDoc example showing findMany usage in Prisma-generated types",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
4,./server/src/generated/prisma/client/index.d.ts,2698,"get fileUpload(): Prisma.FileUploadDelegate<ExtArgs, ClientOptions>;",JSDOC_EXAMPLE,NONE,"Prisma-generated TypeScript delegate accessor declaration for FileUpload model",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
5,./server/src/generated/prisma/client/index.d.ts,5991,"modelProps: ... | ""fileUpload"" | ...",JSDOC_EXAMPLE,NONE,"Prisma-generated modelProps union type listing FileUpload as one of many model props",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
6,./server/src/generated/prisma/client/index.d.ts,27071,"fileUpload?: FileUploadOmit",JSDOC_EXAMPLE,NONE,"Prisma-generated Omit configuration property for FileUpload model",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
7,./server/src/generated/prisma/client/index.d.ts,70452,"}, ExtArgs[""result""][""fileUpload""]>",JSDOC_EXAMPLE,NONE,"Prisma-generated type signature parameter referencing fileUpload result",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
8,./server/src/generated/prisma/client/index.d.ts,70467,"}, ExtArgs[""result""][""fileUpload""]>",JSDOC_EXAMPLE,NONE,"Prisma-generated type signature parameter referencing fileUpload result",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
9,./server/src/generated/prisma/client/index.d.ts,70482,"}, ExtArgs[""result""][""fileUpload""]>",JSDOC_EXAMPLE,NONE,"Prisma-generated type signature parameter referencing fileUpload result",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
10,./server/src/generated/prisma/client/index.d.ts,70499,"export type FileUploadOmit<...> = $Extensions.GetOmit<""id"" | ""filename"" | ""originalName"" | ""mimeType"" | ""size"" | ""s3Key"" | ""s3Bucket"" | ""url"" | ""uploadedBy"" | ""organizationId"" | ""metadata"" | ""createdAt"", ExtArgs[""result""][""fileUpload""]>",JSDOC_EXAMPLE,NONE,"Prisma-generated FileUploadOmit type definition listing model field names",2026-05-29T20:30:00Z,session12_subagent_17,session12,d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437
